time,SlrW_Avg,SlrW_Max,SlrW_Min,SlrMJ_Tot,PAR_Den_Avg,PAR_Den_Max,PAR_Den_Min,PAR_Tot_Tot,AirTC_Avg,RH,VWC_Avg,EC_Avg,T_Avg,VWC_2_Avg,EC_2_Avg,T_2_Avg
2021-11-01 0:00,0,0,0,0,0.001,0.032,0,0.000630165,15.24,89.9,0.423,0.284,16.79,0.423,0.285,16.79
2021-11-01 0:10,0,0,0,0,0,0.009,0,0.000216937,15.2,90.2,0.423,0.284,16.74,0.423,0.284,16.74
2021-11-01 0:20,0,0,0,0,0.001,0.037,0,0.00036887,15.16,90.2,0.423,0.284,16.7,0.423,0.284,16.71
2021-11-01 0:30,0,0,0,0,0.001,0.025,0,0.000449635,15.12,90.5,0.423,0.284,16.67,0.423,0.284,16.67
2021-11-01 0:40,0,0,0,0,0.001,0.022,0,0.000384432,15.1,90.5,0.423,0.284,16.64,0.423,0.284,16.64
2021-11-01 0:50,0,0,0,0,0.001,0.014,0,0.000363048,15.02,90.3,0.423,0.284,16.61,0.423,0.284,16.61
2021-11-01 1:00,0,0,0,0,0.001,0.018,0,0.000370346,14.97,90.1,0.423,0.284,16.56,0.423,0.284,16.56
2021-11-01 1:10,0,0,0,0,0,0.024,0,0.000245648,14.89,90.3,0.423,0.284,16.51,0.423,0.284,16.51
2021-11-01 1:20,0,0,0,0,0.001,0.023,0,0.000873371,14.84,90.4,0.423,0.284,16.47,0.423,0.284,16.47
2021-11-01 1:30,0,0,0,0,0.001,0.015,0,0.000367166,14.8,90.8,0.423,0.284,16.43,0.423,0.284,16.43
2021-11-01 1:40,0,0,0,0,0.001,0.014,0,0.000313663,14.75,90.3,0.423,0.284,16.39,0.423,0.284,16.39
2021-11-01 1:50,0,0,0,0,0.002,0.038,0,0.001034873,14.69,90.4,0.423,0.284,16.35,0.423,0.284,16.35
2021-11-01 2:00,0,0,0,0,0,0.01,0,0.000101724,14.63,90.3,0.423,0.284,16.29,0.423,0.284,16.29
2021-11-01 2:10,0,0,0,0,0.001,0.02,0,0.000509868,14.53,90.4,0.422,0.283,16.24,0.422,0.283,16.24
2021-11-01 2:20,0,0,0,0,0.001,0.025,0,0.00050541,14.46,90.5,0.423,0.283,16.18,0.423,0.283,16.17
2021-11-01 2:30,0,0,0,0,0.001,0.019,0,0.000406355,14.4,90.8,0.422,0.283,16.12,0.422,0.283,16.12
2021-11-01 2:40,0,0,0,0,0,0.015,0,0.00019507,14.35,90.7,0.422,0.283,16.08,0.422,0.283,16.08
2021-11-01 2:50,0,0,0,0,0,0.013,0,0.00028745,14.31,90.8,0.422,0.283,16.04,0.422,0.283,16.04
2021-11-01 3:00,0,0,0,0,0,0.01,0,0.000191719,14.24,90.9,0.422,0.283,15.98,0.422,0.283,15.99
2021-11-01 3:10,0,0,0,0,0,0.009,0,0.00018087,14.21,91.1,0.422,0.283,15.97,0.422,0.283,15.97
2021-11-01 3:20,0,0,0,0,0,0.014,0,0.000276006,14.22,91.6,0.422,0.283,15.97,0.422,0.283,15.96
2021-11-01 3:30,0,0,0,0,0,0.01,0,0.000133928,14.22,92,0.422,0.282,15.97,0.422,0.283,15.97
2021-11-01 3:40,0,0,0,0,0.001,0.018,0,0.000336466,14.26,92.1,0.422,0.282,15.99,0.422,0.282,15.99
2021-11-01 3:50,0,0,0,0,0,0.008,0,0.000118337,14.31,92.3,0.422,0.282,15.99,0.422,0.282,15.99
