Date,Confirmed,Deaths,Recovered
2020-01-22,555,17,28
2020-01-23,654,18,30
2020-01-24,941,26,36
2020-01-25,1434,42,39
2020-01-26,2118,56,52
2020-01-27,2927,82,61
2020-01-28,5578,131,107
2020-01-29,6166,133,125
2020-01-30,8234,171,141
2020-01-31,9927,213,219
2020-02-01,12038,259,281
2020-02-02,16787,362,459
2020-02-03,19887,426,604
2020-02-04,23898,492,821
2020-02-05,27643,564,1071
2020-02-06,30802,634,1418
2020-02-07,34334,719,1903
2020-02-08,37068,806,2470
2020-02-09,40095,906,3057
2020-02-10,42633,1013,3714
2020-02-11,44675,1113,4417
2020-02-12,46561,1118,4849
2020-02-13,60206,1371,5930
2020-02-14,66690,1523,7613
2020-02-15,68765,1666,8902
2020-02-16,70879,1770,10319
2020-02-17,72815,1868,11951
2020-02-18,74609,2008,13693
2020-02-19,75030,2123,15394
2020-02-20,75577,2246,17369
2020-02-21,76206,2250,17966
2020-02-22,77967,2457,21849
2020-02-23,78290,2467,22304
2020-02-24,78854,2627,24047
2020-02-25,79707,2707,26652
2020-02-26,80670,2767,29077
2020-02-27,82034,2810,31919
2020-02-28,83411,2867,35306
2020-02-29,85306,2936,38314
2020-03-01,87690,2990,41208
2020-03-02,89664,3079,44085
2020-03-03,92241,3154,46681
2020-03-04,94540,3249,49619
2020-03-05,97331,3342,52237
2020-03-06,101274,3454,54270
2020-03-07,105312,3553,56760
2020-03-08,109266,3797,59092
2020-03-09,113166,3981,60891
2020-03-10,118190,4260,62802
2020-03-11,125853,4604,65113
2020-03-12,131603,4909,66434
2020-03-13,146008,5406,68359
2020-03-14,157114,5823,70729
2020-03-15,168260,6464,74139
2020-03-16,182919,7144,76192
2020-03-17,198757,7948,78944
2020-03-18,218343,8845,81427
2020-03-19,246261,9951,83064
2020-03-20,275869,11429,85509
2020-03-21,308175,13134,89775
2020-03-22,341585,14831,95990
2020-03-23,383750,16748,96456
2020-03-24,424889,19016,105997
2020-03-25,475706,21793,111445
2020-03-26,538666,24800,119804
